exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,33.529974643034889964000000000000000000,12922627042.5051045546071451,927,True,https://www.binance.com/,1750493976995
mexc,MEXC,2,6.488349104950294303000000000000000000,2500643573.3246735859208408,648,True,https://curve.fi/,1750493963095
bybit,BYBIT,3,6.472456769621832746000000000000000000,2494518584.4312865823567974,273,True,https://curve.fi/,1750493952557
bitget,BITGET,4,5.945181543881418167000000000000000000,2291303963.3784347807297409,377,True,https://curve.fi/,1750493964675
okx,OKX,5,5.706644603833889039000000000000000000,2199370583.0251351436529099,544,True,https://curve.fi/,1750493958308
gate,Gate,6,4.634115306256196569000000000000000000,1786012199.8974705995653076,846,False,https://gate.io/,1750493976069
gdax,Coinbase Pro,7,4.051226270181604642000000000000000000,1561363726.3883516057258938,251,True,https://pro.coinbase.com/,1750493976336
huobi,Huobi,8,3.926732559739019053000000000000000000,1513383201.3114754651320950,219,True,https://www.hbg.com/,1750493953727
lbank,LBank,9,3.926190237604375017000000000000000000,1513174187.5332811558591930,194,False,https://www.lbank.info,1750493942578
digifinex,DigiFinex,10,3.555683264666725367000000000000000000,1370378868.4525563686811329,166,False,https://www.digifinex.com/,1750493976838
bitmax,AscendEX (Bitmax),11,2.575772887624502194000000000000000000,992716300.1861151742788400,177,False,https://www.bitmax.io/,1750493968336
kraken,Kraken,12,2.504741128075938896000000000000000000,965340289.7181304878503570,420,False,https://kraken.com,1750493975990
bitmart,BITMART,13,2.418513380443635352000000000000000000,932107666.2154169192460557,406,True,https://curve.fi/,1750493973257
crypto,Crypto.com Exchange,14,2.158451012030119086000000000000000000,831878273.5428358390909629,165,False,https://api.crypto.com/,1750493931096
whitebit,WhiteBIT,15,1.925186593983207097000000000000000000,741976950.6578985186620998,280,False,https://whitebit.com,1750493974487
kucoin,Kucoin,16,1.871297467922231572000000000000000000,721207800.5125020225560274,400,False,https://www.kucoin.io/,1750493944078
bigone,BigONE,17,1.015953230353566941000000000000000000,391553671.8490968614956620,80,False,https://big.one/,1750493973470
hyperliquid,HYPERLIQUID,18,0.835582358065856838000000000000000000,322037797.2705998910852695,21,True,https://curve.fi/,1750493976140
probit,ProBit,19,0.746716620448601758000000000000000000,287788478.6740093654104926,201,False,https://www.probit.com/en-us/,1750493975348
Uniswap V3,Uniswap V3,20,0.729117576832906875000000000000000000,281005715.5084652421758350,69,True,empty_uri,1750493974877
bitfinex,Bitfinex,21,0.535873244163832858000000000000000000,206528342.1806875661139695,135,True,https://bitfinex.com,1750493918285
bitstamp,Bitstamp,22,0.484779135950178677000000000000000000,186836406.4860208182565090,119,True,https://www.bitstamp.net/,1750493976578
hitbtc,HitBTC,23,0.464191234275314926000000000000000000,178901721.8414770622978000,214,True,https://hitbtc.com/,1750493942366
Aerodrome SlipStream,Aerodrome SlipStream,24,0.410265563108118160000000000000000000,158118487.0216078428848982,5,True,empty_uri,1750493582981
Uniswap V3 (BSC),Uniswap V3 (BSC),25,0.389707456192333628000000000000000000,150195285.4325540204712479,17,True,empty_uri,1750493973686
pionex,PIONEX,26,0.386906664992844392000000000000000000,149115845.9017982668299192,263,True,https://curve.fi/,1750493954028
Uniswap V3 (Arbitrum),Uniswap V3 (Arbitrum),27,0.343483389372519911000000000000000000,132380289.0819865120378311,23,True,empty_uri,1750493641347
dex-trade,Dex-Trade,28,0.324831186406525403000000000000000000,125191632.8119846992746864,85,False,https://dex-trade.com/,1750493973640
gemini,Gemini,29,0.232903001347148098000000000000000000,89762031.0045316789717323,54,True,https://gemini.com/,1750493967492
raydium-101,RAYDIUM (Solana),30,0.193404859881668019000000000000000000,74539241.3524514178457877,14,True,https://curve.fi/,1750493949358
btcturk,BTCTurk,31,0.171620103147750334000000000000000000,66143282.5281103851356906,143,False,https://www.btcturk.com/,1750493951304
Curve-1,CURVE (ethereum),32,0.146443204122692202000000000000000000,56439974.3791666688380152,43,True,https://curve.fi/,1750493938062
coincheck,coincheck,33,0.139808194182995861000000000000000000,53882806.9554859280475790,1,False,coincheck,1750493965765
bitkub,Bitkub,34,0.133982451644045917000000000000000000,51637535.4073266915307054,74,False,https://www.bitkub.com/,1750493964603
exmo,Exmo,35,0.102381426298773600000000000000000000,39458335.4811336449560207,136,False,https://www.exmo.com/,1750493925416
